T02,"Population, density and surface area",,,,,
1,"Total, all countries or areas",2015,Population aged 60+ years old (percentage),12.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
1,"Total, all countries or areas",2015,Population density,56.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2015,Surface area (thousand km2),"136,162",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
1,"Total, all countries or areas",2019,Population mid-year estimates (millions),"7,713.47",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2019,Population mid-year estimates for males (millions),"3,889.03",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2019,Population mid-year estimates for females (millions),"3,824.43",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2019,Sex ratio (males per 100 females),101.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
1,"Total, all countries or areas",2019,Population aged 0 to 14 years old (percentage),25.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
1,"Total, all countries or areas",2019,Population aged 60+ years old (percentage),13.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
1,"Total, all countries or areas",2019,Population density,59.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2019,Surface area (thousand km2),"130,094",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
1,"Total, all countries or areas",2021,Population mid-year estimates (millions),"7,874.97",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2021,Population mid-year estimates for males (millions),"3,970.24",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2021,Population mid-year estimates for females (millions),"3,904.73",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
1,"Total, all countries or areas",2021,Sex ratio (males per 100 females),101.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
1,"Total, all countries or areas",2021,Population aged 0 to 14 years old (percentage),25.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
1,"Total, all countries or areas",2021,Population aged 60+ years old (percentage),13.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
1,"Total, all countries or areas",2021,Population density,60.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2010,Population mid-year estimates (millions),"1,039.30",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2010,Population mid-year estimates for males (millions),518.25,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2010,Population mid-year estimates for females (millions),521.05,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2010,Sex ratio (males per 100 females),99.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
2,Africa,2010,Population aged 0 to 14 years old (percentage),41.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
2,Africa,2010,Population aged 60+ years old (percentage),5.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
2,Africa,2010,Population density,35.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2015,Population mid-year estimates (millions),"1,182.44",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2015,Population mid-year estimates for males (millions),590.28,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2015,Population mid-year estimates for females (millions),592.16,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2015,Sex ratio (males per 100 females),99.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
2,Africa,2015,Population aged 0 to 14 years old (percentage),41.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
2,Africa,2015,Population aged 60+ years old (percentage),5.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
2,Africa,2015,Population density,39.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2015,Surface area (thousand km2),"30,311",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
2,Africa,2019,Population mid-year estimates (millions),"1,308.06",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2019,Population mid-year estimates for males (millions),653.51,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2019,Population mid-year estimates for females (millions),654.55,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2019,Sex ratio (males per 100 females),99.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
2,Africa,2019,Population aged 0 to 14 years old (percentage),40.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
2,Africa,2019,Population aged 60+ years old (percentage),5.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
2,Africa,2019,Population density,44.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2019,Surface area (thousand km2),"29,648",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
2,Africa,2021,Population mid-year estimates (millions),"1,373.49",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2021,Population mid-year estimates for males (millions),686.42,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2021,Population mid-year estimates for females (millions),687.07,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
2,Africa,2021,Sex ratio (males per 100 females),99.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
2,Africa,2021,Population aged 0 to 14 years old (percentage),40.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
2,Africa,2021,Population aged 60+ years old (percentage),5.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
2,Africa,2021,Population density,46.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2010,Population mid-year estimates (millions),202.94,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2010,Population mid-year estimates for males (millions),101.87,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2010,Population mid-year estimates for females (millions),101.07,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2010,Sex ratio (males per 100 females),100.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
15,Northern Africa,2010,Population aged 0 to 14 years old (percentage),32.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
15,Northern Africa,2010,Population aged 60+ years old (percentage),7.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
15,Northern Africa,2010,Population density,26.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2015,Population mid-year estimates (millions),223.86,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2015,Population mid-year estimates for males (millions),112.44,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2015,Population mid-year estimates for females (millions),111.42,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2015,Sex ratio (males per 100 females),100.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
15,Northern Africa,2015,Population aged 0 to 14 years old (percentage),32.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
15,Northern Africa,2015,Population aged 60+ years old (percentage),8.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
15,Northern Africa,2015,Population density,28.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2015,Surface area (thousand km2),"7,880",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
15,Northern Africa,2019,Population mid-year estimates (millions),241.78,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2019,Population mid-year estimates for males (millions),121.48,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2019,Population mid-year estimates for females (millions),120.30,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2019,Sex ratio (males per 100 females),101.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
15,Northern Africa,2019,Population aged 0 to 14 years old (percentage),32.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
15,Northern Africa,2019,Population aged 60+ years old (percentage),8.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
15,Northern Africa,2019,Population density,31.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2019,Surface area (thousand km2),"7,769",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
15,Northern Africa,2021,Population mid-year estimates (millions),250.64,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2021,Population mid-year estimates for males (millions),125.94,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2021,Population mid-year estimates for females (millions),124.69,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
15,Northern Africa,2021,Sex ratio (males per 100 females),101.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
15,Northern Africa,2021,Population aged 0 to 14 years old (percentage),32.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
15,Northern Africa,2021,Population aged 60+ years old (percentage),9.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
15,Northern Africa,2021,Population density,32.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2010,Population mid-year estimates (millions),836.36,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2010,Population mid-year estimates for males (millions),416.39,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2010,Population mid-year estimates for females (millions),419.98,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2010,Sex ratio (males per 100 females),99.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
202,Sub-Saharan Africa,2010,Population aged 0 to 14 years old (percentage),43.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
202,Sub-Saharan Africa,2010,Population aged 60+ years old (percentage),4.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
202,Sub-Saharan Africa,2010,Population density,38.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2015,Population mid-year estimates (millions),958.58,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2015,Population mid-year estimates for males (millions),477.84,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2015,Population mid-year estimates for females (millions),480.74,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2015,Sex ratio (males per 100 females),99.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
202,Sub-Saharan Africa,2015,Population aged 0 to 14 years old (percentage),43.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
202,Sub-Saharan Africa,2015,Population aged 60+ years old (percentage),4.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
202,Sub-Saharan Africa,2015,Population density,43.8,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2015,Surface area (thousand km2),"22,431",Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
202,Sub-Saharan Africa,2019,Population mid-year estimates (millions),"1,066.28",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2019,Population mid-year estimates for males (millions),532.04,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2019,Population mid-year estimates for females (millions),534.25,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2019,Sex ratio (males per 100 females),99.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
202,Sub-Saharan Africa,2019,Population aged 0 to 14 years old (percentage),42.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
202,Sub-Saharan Africa,2019,Population aged 60+ years old (percentage),4.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
202,Sub-Saharan Africa,2019,Population density,48.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2019,Surface area (thousand km2),"21,879",Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
202,Sub-Saharan Africa,2021,Population mid-year estimates (millions),"1,122.85",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2021,Population mid-year estimates for males (millions),560.47,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2021,Population mid-year estimates for females (millions),562.38,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
202,Sub-Saharan Africa,2021,Sex ratio (males per 100 females),99.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
202,Sub-Saharan Africa,2021,Population aged 0 to 14 years old (percentage),41.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
202,Sub-Saharan Africa,2021,Population aged 60+ years old (percentage),4.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
202,Sub-Saharan Africa,2021,Population density,51.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2010,Population mid-year estimates (millions),339.32,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2010,Population mid-year estimates for males (millions),167.97,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2010,Population mid-year estimates for females (millions),171.35,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2010,Sex ratio (males per 100 females),98.0,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
14,Eastern Africa,2010,Population aged 0 to 14 years old (percentage),44.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
14,Eastern Africa,2010,Population aged 60+ years old (percentage),4.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
14,Eastern Africa,2010,Population density,50.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2015,Population mid-year estimates (millions),389.67,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2015,Population mid-year estimates for males (millions),193.13,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2015,Population mid-year estimates for females (millions),196.54,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2015,Sex ratio (males per 100 females),98.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
14,Eastern Africa,2015,Population aged 0 to 14 years old (percentage),43.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
14,Eastern Africa,2015,Population aged 60+ years old (percentage),4.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2019 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2021."
14,Eastern Africa,2015,Population density,58.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2015,Surface area (thousand km2),"7,005",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2019"" and the demographic statistics database, last accessed June 2021."
14,Eastern Africa,2019,Population mid-year estimates (millions),433.90,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2019,Population mid-year estimates for males (millions),215.28,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
14,Eastern Africa,2019,Population mid-year estimates for females (millions),218.62,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
